month,category,our_avg_price,comp_avg_price,our_market_share,comp_market_share,our_rating,comp_rating
2023-01-01,Electronics,320.0,295.0,0.388,0.39,4.2,4.28
2023-02-01,Electronics,320.64,294.705,0.377,0.394,4.15,4.31
2023-03-01,Electronics,321.28,294.41,0.379,0.381,4.11,4.27
2023-04-01,Electronics,321.92,294.115,0.375,0.403,4.27,4.34
2023-05-01,Electronics,322.56,293.82,0.347,0.386,4.17,4.32
2023-06-01,Electronics,323.2,293.525,0.361,0.399,4.05,4.24
2023-07-01,Electronics,323.84000000000003,293.23,0.347,0.402,4.11,4.29
2023-08-01,Electronics,324.48,292.935,0.339,0.403,4.11,4.31
2023-09-01,Electronics,325.12,292.64,0.344,0.408,4.14,4.31
2023-10-01,Electronics,325.76,292.34499999999997,0.34,0.419,4.0,4.29
2023-11-01,Electronics,326.4,292.05,0.338,0.42,4.06,4.32
2023-12-01,Electronics,327.04,291.755,0.323,0.407,4.09,4.28
2024-01-01,Electronics,327.68,291.46,0.319,0.432,4.1,4.33
2024-02-01,Electronics,328.32,291.165,0.331,0.431,4.04,4.26
2024-03-01,Electronics,328.96000000000004,290.87,0.321,0.431,4.14,4.32
2024-04-01,Electronics,329.6,290.575,0.304,0.428,4.02,4.28
2024-05-01,Electronics,330.24,290.28,0.327,0.448,4.11,4.3
2024-06-01,Electronics,330.88,289.985,0.305,0.457,4.13,4.33
2024-07-01,Electronics,331.52,289.69,0.299,0.449,4.04,4.27
2024-08-01,Electronics,332.16,289.395,0.296,0.461,4.12,4.34
2024-09-01,Electronics,332.8,289.1,0.278,0.457,4.26,4.32
2024-10-01,Electronics,333.44,288.805,0.294,0.472,4.06,4.27
2024-11-01,Electronics,334.08000000000004,288.51,0.291,0.471,4.14,4.32
2024-12-01,Electronics,334.72,288.215,0.28,0.475,4.15,4.33
2023-01-01,Clothing,65.0,58.0,0.297,0.295,4.12,4.5
2023-02-01,Clothing,65.13,57.942,0.304,0.302,4.09,4.45
2023-03-01,Clothing,65.26,57.884,0.304,0.29,4.03,4.53
2023-04-01,Clothing,65.39,57.826,0.278,0.308,4.04,4.52
2023-05-01,Clothing,65.52,57.768,0.289,0.306,4.07,4.47
2023-06-01,Clothing,65.65,57.71,0.278,0.321,4.08,4.48
2023-07-01,Clothing,65.78,57.652,0.266,0.311,4.03,4.44
2023-08-01,Clothing,65.91,57.594,0.259,0.31,4.13,4.47
2023-09-01,Clothing,66.04,57.536,0.233,0.319,4.13,4.55
2023-10-01,Clothing,66.17,57.478,0.274,0.321,4.05,4.5
2023-11-01,Clothing,66.3,57.42,0.254,0.324,4.07,4.54
2023-12-01,Clothing,66.43,57.362,0.235,0.334,4.15,4.53
2024-01-01,Clothing,66.56,57.304,0.252,0.36,4.13,4.5
2024-02-01,Clothing,66.69,57.246,0.228,0.336,3.99,4.51
2024-03-01,Clothing,66.82000000000001,57.188,0.237,0.343,4.05,4.5
2024-04-01,Clothing,66.95,57.13,0.228,0.343,4.1,4.53
2024-05-01,Clothing,67.08,57.072,0.222,0.348,4.08,4.49
2024-06-01,Clothing,67.21000000000001,57.013999999999996,0.227,0.362,4.12,4.5
2024-07-01,Clothing,67.34,56.955999999999996,0.22,0.345,4.05,4.5
2024-08-01,Clothing,67.47,56.897999999999996,0.215,0.375,4.08,4.44
2024-09-01,Clothing,67.60000000000001,56.839999999999996,0.215,0.351,4.08,4.45
2024-10-01,Clothing,67.73,56.782,0.225,0.362,4.1,4.49
2024-11-01,Clothing,67.86,56.724,0.185,0.393,4.13,4.49
2024-12-01,Clothing,67.99000000000001,56.666,0.185,0.371,4.01,4.49
2023-01-01,Home & Kitchen,95.0,88.0,0.252,0.262,4.14,4.23
2023-02-01,Home & Kitchen,95.19,87.912,0.25,0.257,4.09,4.22
