customer_id,age,segment,region,channel,join_date
C0001,40,Occasional,East,Online,2022-11-24
C0002,33,Regular,North,Retail,2022-02-27
C0003,53,Premium,Central,Retail,2022-01-13
C0004,44,Regular,North,Online,2022-05-21
C0005,37,Regular,South,App,2022-05-06
C0006,18,Premium,South,Online,2022-04-25
C0007,52,Regular,East,App,2022-03-13
C0008,32,Premium,West,Online,2022-02-22
C0009,27,Occasional,East,Online,2022-12-13
C0010,31,Regular,North,Partner,2022-10-07
C0011,44,Regular,East,App,2022-02-14
C0012,20,Regular,Central,Retail,2022-10-30
C0013,43,Premium,North,Online,2022-08-05
C0014,37,Regular,South,Online,2022-01-17
C0015,29,Regular,East,Online,2022-01-16
C0016,47,Occasional,North,Partner,2022-02-17
C0017,26,Premium,West,App,2022-04-22
C0018,42,Occasional,West,Online,2022-04-30
C0019,24,Occasional,West,Online,2022-09-16
C0020,31,Premium,South,Online,2022-11-05
C0021,44,Occasional,East,Online,2022-01-14
C0022,51,Occasional,West,App,2022-10-15
C0023,34,Regular,East,Online,2022-04-12
C0024,53,Premium,North,App,2022-11-29
C0025,36,Occasional,South,Online,2022-12-26
C0026,18,Occasional,South,Online,2022-10-07
C0027,25,Occasional,West,App,2022-08-03
C0028,28,Occasional,West,Online,2022-04-23
C0029,36,Occasional,Central,Online,2022-08-18
C0030,46,Premium,South,Online,2022-10-29
C0031,38,Premium,East,Online,2022-05-23
C0032,38,Regular,North,Online,2022-01-04
C0033,33,Regular,West,Online,2022-03-23
C0034,39,Occasional,Central,Online,2022-12-24
C0035,18,Regular,North,App,2022-08-05
C0036,34,Regular,North,Online,2022-06-24
C0037,32,Premium,East,Partner,2022-05-23
C0038,38,Regular,West,Retail,2022-03-21
C0039,44,Regular,West,App,2022-04-21
C0040,24,Regular,North,Retail,2022-06-22
C0041,23,Premium,East,App,2022-02-22
C0042,28,Premium,East,Online,2022-02-17
C0043,22,Occasional,South,Partner,2022-07-14
C0044,40,Premium,South,Online,2022-02-19
C0045,44,Occasional,East,App,2022-07-03
C0046,20,Regular,North,Retail,2022-06-26
C0047,38,Regular,South,App,2022-11-06
C0048,44,Occasional,Central,Retail,2022-05-16
C0049,26,Regular,Central,App,2022-01-23
C0050,37,Premium,North,App,2022-08-24
C0051,57,Occasional,South,App,2022-10-02
C0052,40,Regular,South,App,2022-03-05
C0053,46,Occasional,East,Online,2022-07-13
C0054,39,Regular,South,Online,2022-02-10
C0055,34,Occasional,West,Retail,2022-10-10
C0056,39,Regular,East,App,2022-05-31
C0057,42,Regular,North,App,2022-11-18
C0058,24,Regular,Central,Partner,2022-11-13
C0059,32,Premium,Central,Online,2022-07-05
C0060,43,Occasional,Central,Retail,2022-10-23
C0061,24,Occasional,South,Online,2022-04-09
C0062,18,Regular,Central,App,2022-12-27
C0063,24,Regular,Central,Online,2022-02-05
C0064,36,Regular,Central,App,2022-01-24
C0065,47,Regular,South,Retail,2022-12-05
C0066,47,Occasional,Central,Partner,2022-04-27
C0067,41,Occasional,West,App,2022-05-29
C0068,70,Occasional,Central,Online,2022-02-10
C0069,25,Regular,North,App,2022-04-30
C0070,32,Regular,South,App,2022-02-21
C0071,29,Premium,East,Retail,2022-07-14
C0072,48,Regular,West,Online,2022-05-23
C0073,35,Regular,West,App,2022-08-21
C0074,27,Occasional,East,Online,2022-11-22
C0075,27,Regular,North,Online,2022-07-06
C0076,45,Occasional,West,App,2022-03-25
C0077,20,Regular,South,App,2022-07-09
C0078,30,Occasional,West,Online,2022-07-01
C0079,60,Regular,South,Online,2022-04-18
C0080,47,Occasional,North,Online,2022-12-10
C0081,40,Regular,North,App,2022-05-17
C0082,44,Regular,North,Online,2022-12-26
C0083,54,Regular,North,Online,2022-12-16
C0084,18,Regular,East,Retail,2022-11-28
C0085,23,Premium,West,Online,2022-02-06
C0086,40,Regular,Central,App,2022-11-08
C0087,54,Regular,East,Partner,2022-11-22
C0088,20,Regular,Central,Partner,2022-03-29
C0089,38,Premium,South,Retail,2022-10-01
C0090,27,Premium,West,Online,2022-05-06
C0091,39,Regular,Central,App,2022-03-25
C0092,26,Occasional,South,Online,2022-08-25
C0093,43,Occasional,East,Online,2022-07-14
C0094,42,Occasional,South,Partner,2022-05-19
C0095,32,Occasional,West,Online,2022-11-24
C0096,48,Occasional,East,Retail,2022-12-19
C0097,43,Regular,North,Partner,2022-10-13
C0098,31,Premium,South,Partner,2022-04-23
C0099,36,Regular,East,Online,2022-12-17
C0100,42,Regular,West,Retail,2022-06-16
C0101,42,Premium,East,Online,2022-01-29
C0102,42,Regular,East,Retail,2022-04-28
C0103,25,Premium,West,App,2022-01-17
C0104,31,Premium,North,App,2022-06-11
C0105,29,Premium,Central,Online,2022-07-25
C0106,37,Regular,West,Partner,2022-05-18
C0107,26,Occasional,East,Online,2022-02-03
C0108,32,Occasional,North,App,2022-04-19
C0109,34,Premium,North,Online,2022-10-18
C0110,31,Regular,West,App,2022-06-11
C0111,33,Regular,Central,Online,2022-04-19
C0112,39,Occasional,North,Partner,2022-12-02
C0113,37,Premium,East,Partner,2022-09-13
C0114,35,Regular,West,App,2022-07-22
C0115,60,Regular,Central,Online,2022-11-26
C0116,25,Regular,Central,Retail,2022-08-23
C0117,61,Regular,North,App,2022-03-15
C0118,25,Regular,East,Online,2022-05-16
C0119,39,Regular,West,App,2022-03-13
C0120,57,Regular,Central,Retail,2022-05-07
C0121,19,Occasional,Central,Online,2022-10-15
C0122,56,Premium,South,Retail,2022-10-03
C0123,18,Occasional,West,Retail,2022-05-15
C0124,51,Regular,East,Online,2022-10-27
C0125,35,Occasional,Central,Retail,2022-08-08
C0126,35,Regular,East,Online,2022-10-26
C0127,36,Regular,West,App,2022-07-24
C0128,41,Regular,North,App,2022-07-05
C0129,53,Regular,Central,App,2022-04-23
C0130,36,Regular,Central,Online,2022-03-12
C0131,42,Occasional,North,Online,2022-09-18
C0132,51,Premium,South,App,2022-09-10
C0133,20,Occasional,South,App,2022-02-16
C0134,18,Occasional,South,App,2022-01-25
C0135,18,Regular,Central,App,2022-02-26
C0136,34,Regular,West,Online,2022-03-20
C0137,39,Regular,South,Retail,2022-11-18
C0138,23,Regular,West,Online,2022-03-23
C0139,28,Regular,North,Online,2022-12-15
C0140,25,Regular,North,Online,2022-08-05
C0141,58,Premium,West,App,2022-11-02
C0142,35,Premium,Central,Partner,2022-02-02
C0143,33,Occasional,West,Online,2022-07-17
C0144,32,Regular,South,App,2022-07-15
C0145,18,Regular,West,Online,2022-11-02
C0146,51,Regular,West,Retail,2022-08-28
C0147,70,Premium,East,App,2022-09-28
C0148,48,Regular,South,Online,2022-05-09
C0149,27,Premium,Central,App,2022-10-11
C0150,22,Occasional,West,App,2022-01-06
C0151,35,Regular,West,Online,2022-12-15
C0152,24,Premium,South,Online,2022-02-28
C0153,46,Regular,Central,App,2022-12-16
C0154,57,Regular,North,Online,2022-10-02
C0155,27,Regular,South,Online,2022-05-17
C0156,29,Occasional,North,App,2022-11-25
C0157,38,Premium,South,Partner,2022-06-24
C0158,34,Occasional,West,Online,2022-02-27
C0159,41,Occasional,East,App,2022-05-31
C0160,23,Regular,West,Online,2022-08-11
C0161,25,Regular,South,Online,2022-03-22
C0162,18,Regular,South,App,2022-08-21
C0163,34,Regular,North,Online,2022-01-02
C0164,20,Premium,North,Partner,2022-05-15
C0165,47,Regular,West,Retail,2022-09-14
C0166,28,Regular,East,Online,2022-04-02
C0167,41,Occasional,Central,Online,2022-09-17
C0168,32,Occasional,Central,Online,2022-02-24
C0169,36,Regular,West,Online,2022-11-17
C0170,33,Occasional,North,Online,2022-06-02
C0171,39,Occasional,East,Online,2022-11-24
C0172,29,Occasional,South,Retail,2022-09-17
C0173,18,Regular,South,App,2022-11-08
C0174,22,Regular,South,Retail,2022-04-12
C0175,44,Occasional,West,Online,2022-03-20
C0176,18,Occasional,West,Online,2022-07-11
C0177,39,Regular,East,Retail,2022-03-24
C0178,30,Occasional,North,Online,2022-10-04
C0179,44,Premium,East,Retail,2022-09-29
C0180,24,Occasional,South,Retail,2022-01-01
C0181,31,Occasional,North,Online,2022-11-03
C0182,23,Occasional,West,App,2022-06-15
C0183,39,Regular,South,Online,2022-09-08
C0184,57,Occasional,East,Online,2022-01-10
C0185,42,Regular,East,App,2022-02-27
C0186,34,Regular,North,Retail,2022-07-05
C0187,36,Occasional,Central,App,2022-06-07
C0188,43,Regular,East,App,2022-05-03
C0189,54,Occasional,Central,App,2022-01-30
C0190,28,Premium,Central,Retail,2022-05-04
C0191,35,Regular,South,Online,2022-10-18
C0192,48,Regular,West,Online,2022-02-10
C0193,22,Regular,Central,Online,2022-02-13
C0194,18,Regular,West,App,2022-09-06
C0195,31,Premium,North,App,2022-02-05
C0196,18,Regular,Central,Online,2022-09-30
C0197,57,Premium,West,Online,2022-03-06
C0198,48,Occasional,North,Online,2022-03-07
C0199,65,Premium,West,Online,2022-12-04
C0200,35,Occasional,North,Online,2022-09-01
C0201,34,Regular,North,Retail,2022-10-09
C0202,28,Regular,East,Online,2022-03-26
C0203,49,Regular,North,Retail,2022-05-16
C0204,18,Occasional,South,Online,2022-09-28
C0205,21,Premium,North,App,2022-11-07
C0206,56,Occasional,North,Online,2022-08-05
C0207,43,Premium,North,Retail,2022-04-19
C0208,21,Regular,West,Online,2022-10-04
C0209,32,Occasional,Central,Retail,2022-12-20
C0210,30,Regular,West,Online,2022-04-13
C0211,42,Premium,North,Online,2023-01-01
C0212,31,Premium,North,App,2022-06-09
C0213,46,Occasional,South,Online,2022-07-24
C0214,32,Regular,East,Online,2022-12-10
C0215,19,Regular,East,Online,2022-11-29
C0216,56,Occasional,West,Online,2022-07-11
C0217,34,Occasional,West,Online,2022-08-13
C0218,48,Premium,South,App,2022-09-22
C0219,18,Premium,West,Partner,2022-08-20
C0220,43,Regular,North,Online,2022-03-03
C0221,37,Regular,East,App,2022-05-07
C0222,23,Occasional,North,Online,2022-04-26
C0223,38,Regular,West,Online,2022-02-02
C0224,46,Occasional,East,Online,2022-06-23
C0225,27,Regular,West,Online,2022-01-11
C0226,35,Regular,South,Online,2022-10-29
C0227,23,Occasional,South,App,2022-10-11
C0228,18,Regular,West,Partner,2022-04-28
C0229,24,Premium,South,App,2022-10-29
C0230,43,Premium,East,App,2022-04-23
C0231,48,Premium,North,App,2022-01-04
C0232,26,Regular,West,Online,2022-02-06
C0233,43,Occasional,West,Online,2022-12-29
C0234,28,Regular,South,Online,2022-11-20
C0235,34,Regular,East,Retail,2022-01-31
C0236,42,Occasional,West,App,2022-04-28
C0237,45,Regular,East,Online,2022-02-04
C0238,40,Occasional,Central,Online,2022-01-17
C0239,40,Regular,East,Partner,2022-06-19
C0240,37,Premium,West,Online,2022-02-06
C0241,34,Occasional,West,Online,2022-09-21
C0242,43,Occasional,North,App,2022-05-02
C0243,29,Premium,West,Online,2022-05-23
C0244,31,Occasional,North,Online,2022-12-09
C0245,52,Regular,West,Retail,2022-09-06
C0246,37,Regular,South,Online,2022-04-20
C0247,35,Occasional,West,Partner,2022-10-04
C0248,47,Regular,West,Online,2022-03-09
C0249,62,Occasional,Central,Retail,2022-10-20
C0250,30,Regular,East,App,2022-10-23
C0251,29,Regular,South,Online,2022-08-31
C0252,31,Regular,North,Online,2022-05-05
C0253,34,Regular,West,Online,2022-08-31
C0254,37,Occasional,West,Online,2022-07-28
C0255,46,Occasional,East,App,2022-04-08
C0256,32,Regular,Central,Online,2022-02-18
C0257,36,Regular,East,Online,2022-02-19
C0258,40,Regular,South,Online,2022-12-04
C0259,27,Premium,Central,Retail,2022-08-09
C0260,49,Occasional,Central,Online,2022-07-01
C0261,52,Occasional,North,Retail,2022-08-05
C0262,28,Regular,South,App,2022-07-30
C0263,53,Premium,Central,Online,2022-08-28
C0264,56,Premium,Central,Partner,2022-01-28
C0265,38,Occasional,East,Online,2022-12-11
C0266,39,Regular,South,Online,2022-12-01
C0267,34,Premium,South,App,2022-11-27
C0268,56,Premium,Central,App,2022-02-20
C0269,65,Occasional,South,App,2022-02-01
C0270,28,Regular,South,Retail,2022-07-26
C0271,42,Occasional,Central,App,2022-06-23
C0272,48,Occasional,West,App,2022-02-25
C0273,51,Regular,Central,Retail,2022-05-08
C0274,42,Premium,West,Online,2022-04-09
C0275,49,Regular,West,Retail,2022-04-08
C0276,25,Regular,North,Online,2022-10-02
C0277,37,Regular,South,App,2022-08-18
C0278,35,Regular,West,Online,2022-03-13
C0279,37,Occasional,South,App,2022-08-05
C0280,53,Occasional,North,Partner,2022-04-04
C0281,29,Regular,West,Online,2022-05-23
C0282,37,Regular,South,App,2022-08-25
C0283,28,Occasional,North,Online,2022-05-08
C0284,39,Regular,East,Retail,2022-02-08
C0285,28,Regular,Central,Online,2022-08-15
C0286,57,Regular,North,Retail,2022-10-09
C0287,22,Premium,West,App,2022-02-20
C0288,43,Regular,Central,Online,2022-01-26
C0289,42,Regular,West,Online,2022-11-30
C0290,33,Regular,Central,Online,2022-10-04
C0291,32,Regular,North,App,2022-01-08
C0292,39,Regular,Central,App,2022-02-17
C0293,39,Occasional,West,Retail,2022-05-02
C0294,40,Regular,North,Online,2022-03-27
C0295,37,Occasional,East,Online,2022-07-28
C0296,43,Premium,West,Online,2022-09-06
C0297,34,Premium,East,Online,2022-09-04
C0298,18,Occasional,South,App,2022-04-20
C0299,29,Regular,South,App,2022-07-25
C0300,18,Occasional,West,Online,2022-01-31
C0301,23,Regular,Central,Online,2022-03-26
C0302,34,Regular,West,App,2022-07-14
C0303,32,Regular,East,Online,2022-01-02
C0304,35,Regular,North,Online,2022-07-19
C0305,22,Regular,West,Retail,2022-05-16
C0306,31,Regular,North,Online,2022-08-21
C0307,51,Premium,Central,Online,2022-05-27
C0308,46,Regular,West,Retail,2022-08-05
C0309,45,Regular,West,Online,2022-12-23
C0310,42,Occasional,East,Retail,2022-10-12
C0311,59,Regular,West,Online,2022-12-05
C0312,26,Premium,South,Online,2022-09-07
C0313,31,Occasional,South,Online,2022-03-21
C0314,40,Occasional,West,App,2022-04-08
C0315,55,Regular,Central,Partner,2022-06-01
C0316,40,Occasional,North,App,2022-04-22
C0317,31,Occasional,West,App,2022-01-30
C0318,18,Regular,South,Online,2022-10-24
C0319,37,Regular,West,App,2022-10-05
C0320,47,Occasional,Central,Online,2022-02-01
C0321,42,Occasional,North,App,2022-06-10
C0322,18,Regular,West,Online,2022-01-30
C0323,40,Regular,South,Partner,2022-01-26
C0324,38,Regular,Central,App,2022-10-27
C0325,41,Regular,East,Online,2022-09-02
C0326,30,Regular,North,Online,2022-09-15
C0327,19,Occasional,North,Partner,2022-09-29
C0328,48,Regular,South,Online,2022-03-22
C0329,35,Regular,West,Online,2022-01-30
C0330,19,Regular,West,App,2022-09-18
C0331,30,Premium,West,App,2022-02-11
C0332,30,Regular,West,Retail,2022-04-06
C0333,47,Regular,North,Online,2022-02-05
C0334,37,Premium,East,Partner,2022-11-01
C0335,43,Regular,East,Online,2022-02-04
C0336,34,Premium,Central,Partner,2022-12-12
C0337,45,Regular,East,App,2022-05-01
C0338,39,Occasional,North,Online,2022-07-26
C0339,48,Regular,West,Partner,2022-03-03
C0340,22,Premium,West,Online,2022-10-19
C0341,32,Occasional,West,Partner,2022-05-07
C0342,37,Occasional,East,App,2022-10-24
C0343,37,Premium,Central,App,2022-11-01
C0344,47,Occasional,North,App,2022-01-21
C0345,54,Premium,West,Partner,2022-11-14
C0346,21,Premium,Central,Online,2022-02-11
C0347,38,Regular,West,Retail,2022-08-03
C0348,40,Regular,South,App,2022-12-03
C0349,42,Occasional,East,Retail,2022-10-26
C0350,43,Premium,East,Online,2022-10-17
C0351,21,Regular,West,Online,2022-09-25
C0352,18,Regular,South,Online,2022-06-11
C0353,54,Regular,East,Online,2022-05-14
C0354,47,Occasional,East,App,2022-04-15
C0355,18,Regular,East,App,2022-12-09
C0356,18,Occasional,West,App,2022-06-10
C0357,44,Regular,Central,Online,2022-05-03
C0358,38,Occasional,South,Online,2022-05-16
C0359,18,Regular,South,Retail,2022-07-22
C0360,33,Regular,South,App,2022-03-09
C0361,23,Regular,North,Online,2022-12-10
C0362,46,Occasional,North,App,2022-11-27
C0363,27,Regular,South,Partner,2022-06-03
C0364,38,Regular,West,App,2022-08-23
C0365,36,Occasional,West,Retail,2022-06-11
C0366,29,Occasional,South,Online,2022-02-07
C0367,18,Occasional,Central,Online,2022-01-05
C0368,55,Regular,West,Online,2022-08-23
C0369,31,Occasional,North,App,2022-11-15
C0370,49,Regular,East,Online,2022-10-16
C0371,42,Regular,North,Online,2022-02-21
C0372,39,Regular,West,App,2022-02-07
C0373,28,Regular,East,Partner,2022-10-03
C0374,18,Premium,West,Online,2022-04-20
C0375,55,Occasional,Central,Online,2022-09-17
C0376,28,Premium,West,App,2022-05-16
C0377,30,Premium,Central,Online,2022-03-09
C0378,32,Regular,South,Online,2022-06-28
C0379,35,Premium,West,Online,2022-02-05
C0380,25,Regular,Central,App,2022-05-06
C0381,18,Regular,West,Partner,2022-07-09
C0382,39,Occasional,East,App,2022-05-26
C0383,26,Regular,Central,Online,2022-03-22
C0384,34,Occasional,North,App,2022-08-13
C0385,33,Occasional,South,App,2022-10-06
C0386,24,Occasional,Central,Online,2022-12-27
C0387,21,Occasional,Central,App,2022-06-04
C0388,31,Occasional,East,App,2022-11-10
C0389,37,Premium,West,Retail,2022-12-01
C0390,31,Occasional,North,Online,2022-09-28
C0391,25,Premium,Central,App,2022-01-05
C0392,19,Regular,South,Online,2022-12-08
C0393,39,Occasional,East,Partner,2022-10-11
C0394,64,Occasional,North,Partner,2022-06-03
C0395,35,Regular,Central,Retail,2022-12-06
C0396,33,Occasional,West,Online,2022-02-23
C0397,32,Regular,West,Online,2022-03-10
C0398,25,Occasional,West,Retail,2022-05-16
C0399,34,Regular,West,Online,2022-03-01
C0400,44,Regular,South,Online,2022-02-24
C0401,27,Premium,North,Partner,2022-10-11
C0402,32,Regular,Central,Online,2022-03-21
C0403,35,Regular,North,App,2022-05-20
C0404,18,Regular,West,App,2022-05-25
C0405,32,Premium,Central,Online,2022-11-06
C0406,52,Occasional,Central,Online,2022-04-18
C0407,27,Occasional,North,App,2022-06-25
C0408,31,Occasional,West,App,2022-04-15
C0409,46,Regular,East,Online,2022-12-18
C0410,18,Occasional,East,Online,2022-11-21
C0411,20,Occasional,West,Retail,2022-05-16
C0412,18,Premium,East,App,2022-09-16
C0413,28,Regular,North,Online,2022-09-08
C0414,39,Regular,Central,Retail,2022-05-09
C0415,34,Premium,East,App,2022-01-27
