order_id,customer_id,order_date,category,quantity,unit_price,revenue,margin,discount,returned,region,channel,segment
O006945,C1388,2024-05-21,Sports,1,108.38,108.38,41.18,0.0,False,East,Online,Regular
O006552,C1308,2024-06-16,Beauty,2,15.22,30.43,18.87,4.56,True,West,App,Premium
O000060,C0011,2024-05-24,Beauty,1,6.58,6.58,4.08,0.0,False,East,App,Regular
O000851,C0154,2023-02-03,Home & Kitchen,1,55.69,47.33,19.88,2.37,False,North,Online,Regular
O006252,C1236,2023-05-26,Clothing,1,11.04,11.04,6.07,0.0,False,South,App,Regular
O004939,C0985,2023-12-03,Home & Kitchen,2,141.46,367.8,154.48,36.78,False,South,App,Regular
O003429,C0685,2024-05-31,Clothing,1,140.07,140.07,77.04,0.0,False,Central,Retail,Regular
O007744,C1537,2023-06-20,Sports,1,146.91,146.91,55.83,14.69,False,East,Online,Premium
O007043,C1406,2024-06-11,Electronics,1,329.25,329.25,72.44,65.85,False,East,App,Regular
O005825,C1147,2023-09-09,Sports,1,279.85,279.85,106.34,13.99,False,South,Online,Premium
O006819,C1362,2023-02-26,Beauty,1,56.82,48.3,29.95,0.0,False,South,Partner,Premium
O001515,C0288,2023-06-22,Electronics,2,474.51,949.01,208.78,94.9,False,Central,Online,Regular
O006186,C1223,2024-01-26,Sports,2,137.68,234.06,88.94,0.0,False,West,Online,Regular
O004302,C0866,2023-07-16,Electronics,1,272.67,272.67,59.99,13.63,False,Central,App,Premium
O008246,C1645,2023-12-19,Beauty,1,86.85,112.9,70.0,0.0,False,North,App,Regular
O007388,C1464,2024-10-10,Sports,1,121.73,121.73,46.26,24.35,False,East,App,Premium
O002582,C0516,2024-11-20,Beauty,1,32.13,41.77,25.9,6.27,False,South,Partner,Occasional
O006246,C1235,2023-03-26,Clothing,1,104.39,104.39,57.41,0.0,False,North,Partner,Regular
O000656,C0122,2023-05-16,Beauty,1,36.32,36.32,22.52,0.0,False,South,Retail,Premium
O004342,C0874,2024-06-11,Sports,1,106.81,106.81,40.59,10.68,False,North,Partner,Regular
O002714,C0540,2024-09-18,Electronics,1,350.48,350.48,77.11,35.05,False,North,Online,Regular
O001714,C0329,2024-05-31,Beauty,2,60.71,121.42,75.28,0.0,False,West,Online,Regular
O003343,C0663,2023-05-10,Home & Kitchen,1,5.0,5.0,2.1,0.0,False,South,Online,Premium
O008051,C1599,2024-07-24,Beauty,1,29.86,29.86,18.51,2.99,False,West,App,Regular
O001402,C0264,2023-07-25,Beauty,1,27.39,27.39,16.98,5.48,False,Central,Partner,Premium
O006472,C1292,2023-04-28,Home & Kitchen,1,101.23,101.23,42.52,0.0,False,South,App,Premium
O009112,C1834,2024-08-02,Beauty,1,75.16,75.16,46.6,15.03,False,East,Online,Regular
O006218,C1229,2023-06-12,Clothing,1,84.83,84.83,46.66,4.24,False,South,Partner,Premium
O000585,C0109,2024-06-23,Sports,1,136.5,136.5,51.87,0.0,False,North,Online,Premium
O007369,C1460,2023-05-27,Electronics,1,5.0,5.0,1.1,0.0,False,North,App,Regular
O005028,C1002,2023-10-29,Home & Kitchen,1,86.16,86.16,36.19,0.0,False,East,App,Premium
O000196,C0039,2023-09-11,Sports,1,153.58,153.58,58.36,0.0,False,West,App,Regular
O009504,C1910,2024-04-25,Electronics,1,140.13,140.13,30.83,0.0,True,North,Partner,Occasional
O009003,C1813,2024-02-06,Electronics,1,457.07,388.51,85.47,0.0,False,North,App,Occasional
O007450,C1475,2024-11-14,Beauty,1,22.58,29.35,18.2,4.4,False,South,Partner,Premium
O002009,C0384,2023-08-24,Sports,1,164.26,164.26,62.42,8.21,False,North,App,Occasional
O001398,C0264,2023-05-19,Clothing,1,64.82,64.82,35.65,12.96,False,Central,Partner,Premium
O002545,C0503,2023-06-08,Beauty,1,85.72,85.72,53.15,0.0,False,Central,Retail,Regular
O009524,C1918,2024-09-19,Sports,2,5.54,11.09,4.21,2.22,False,Central,Online,Regular
O002161,C0415,2024-08-11,Home & Kitchen,2,38.34,76.69,32.21,0.0,False,East,App,Premium
O007278,C1448,2023-08-27,Beauty,1,79.03,79.03,49.0,0.0,False,North,App,Premium
O008462,C1705,2024-08-04,Home & Kitchen,1,156.5,156.5,65.73,0.0,False,South,Online,Regular
O004479,C0903,2024-08-08,Home & Kitchen,1,159.19,159.19,66.86,0.0,True,East,Online,Regular
O007421,C1468,2024-08-08,Home & Kitchen,1,70.49,70.49,29.61,14.1,False,North,Retail,Regular
O000786,C0144,2023-03-06,Clothing,1,128.55,128.55,70.7,12.86,False,South,App,Regular
O006893,C1379,2024-11-06,Home & Kitchen,1,18.72,24.33,10.22,1.22,False,West,Online,Occasional
O003096,C0611,2024-07-19,Clothing,1,37.6,37.6,20.68,7.52,False,North,App,Regular
O000541,C0103,2024-03-03,Sports,1,44.07,44.07,16.75,0.0,False,West,App,Premium
O003694,C0742,2023-01-30,Clothing,1,64.82,55.09,30.3,8.26,False,North,App,Regular
O000710,C0130,2023-08-03,Home & Kitchen,1,85.85,85.85,36.06,4.29,False,Central,Online,Regular
O008584,C1729,2024-07-15,Electronics,1,507.31,507.31,111.61,101.46,False,Central,App,Regular
O000392,C0078,2024-03-01,Electronics,1,432.75,432.75,95.2,64.91,False,West,Online,Occasional
O000207,C0041,2024-05-24,Home & Kitchen,1,146.93,146.93,61.71,0.0,True,East,App,Premium
O005875,C1165,2023-07-05,Sports,1,158.74,158.74,60.32,23.81,False,Central,App,Regular
